Year,Ruta,Idestado,Idmunicipio,Idciclo,Idmodalidad,Idcultivo,Sembrada,Volumenproduccion,Precio,Valorproduccion
2018,1,14,110,2,2,7490000,8070,37176,3940.43,146489316.7
2018,1,14,34,2,2,7490000,1465,5202,3869.8,20130677.1
2018,1,14,28,2,2,7490000,1725,6750,3938.95,26587941
2018,1,14,17,2,2,7490000,6860,31808,3948.22,125585087
2018,1,14,100,2,2,7490000,1558,5617.39,3670.29,20617468.25
2018,1,14,100,2,1,7490000,581.41,4255.92,4243.76,18061103.06
2018,1,14,94,2,2,7490000,2268,17948.12,3988.47,71585527.2
2018,1,14,55,2,2,7490000,3190,25495.32,3977.8,101415300.6
2018,1,14,40,2,2,7490000,2440,19874.87,3994.39,79387969.6
2018,1,14,5,2,2,7490000,935,7460.11,3999.84,29839228.36
2018,1,14,117,2,2,7490000,3650,21436.5,3374.42,72335754.33
2018,1,14,117,2,1,7490000,54,420,3280,1377600
2018,1,14,73,2,2,7490000,4850,22265.43,3364,74900906.52
2018,1,14,73,2,1,7490000,1126,7545.6,3320.67,25056447.55
2018,1,14,46,2,2,7490000,5224,32829.3,3317.65,108916127.2
2018,1,14,46,2,1,7490000,547,3692.25,3245.64,11983714.29
2018,1,14,45,2,2,7490000,6260,28170,4023.02,113328365.4
2018,1,14,29,2,2,7490000,15940,100422,4290.84,430895108.7
2018,,9,13,2,2,7490000,665,845.21,4845.4,4095380.53
2018,,9,12,2,2,7490000,908,1219.44,4944.24,6029204.03
2018,1,6,9,2,2,7490000,61,189.1,3364.93,636308.26
2018,1,6,6,2,2,7490000,38,168.49,3375.23,568692.51
2018,1,6,1,2,2,7490000,9.25,26.36,3645.5,96095.38
2018,1,6,10,2,2,7490000,995,3482.5,3935.12,13704055.4
2018,1,6,10,2,1,7490000,103,540.75,3953.99,2138120.09
2018,1,6,4,2,2,7490000,645,2205.9,3940,8691246
2018,1,6,4,2,1,7490000,458,2862.5,3939.32,11276303.5
2018,1,6,2,2,2,7490000,2324,9528.4,3955.82,37692635.29
2018,1,6,2,2,1,7490000,289,1658.86,3933.22,6524661.33
2018,4,3,8,2,1,7490000,75,298,4548.72,1355518.56
2018,4,3,3,2,1,7490000,200,864,4016.6,3470342.4
2018,4,3,1,2,1,7490000,1194,10750,4100,44075000
2018,4,3,2,2,1,7490000,3,12.6,4100,51660
